# Time          3.5000E+00
    Distance         pH
  1.8750E+01    6.3656E+00
  1.8850E+01    6.3694E+00
  1.8950E+01    6.3732E+00
  1.9050E+01    6.3770E+00
  1.9150E+01    6.3808E+00
  1.9250E+01    6.3845E+00
  1.9350E+01    6.3883E+00
  1.9450E+01    6.3921E+00
  1.9550E+01    6.3959E+00
  1.9650E+01    6.3997E+00
  1.9750E+01    6.4035E+00
  1.9850E+01    6.4073E+00
  1.9950E+01    6.4218E+00
