# Time          2.5000E+00
    Distance         pH
  1.8750E+01    6.3563E+00
  1.8850E+01    6.3601E+00
  1.8950E+01    6.3638E+00
  1.9050E+01    6.3676E+00
  1.9150E+01    6.3714E+00
  1.9250E+01    6.3752E+00
  1.9350E+01    6.3789E+00
  1.9450E+01    6.3827E+00
  1.9550E+01    6.3865E+00
  1.9650E+01    6.3903E+00
  1.9750E+01    6.3941E+00
  1.9850E+01    6.3979E+00
  1.9950E+01    6.3975E+00
