# Time          1.5000E+00
    Distance         pH
  1.8750E+01    6.3608E+00
  1.8850E+01    6.3646E+00
  1.8950E+01    6.3684E+00
  1.9050E+01    6.3721E+00
  1.9150E+01    6.3759E+00
  1.9250E+01    6.3797E+00
  1.9350E+01    6.3835E+00
  1.9450E+01    6.3873E+00
  1.9550E+01    6.3911E+00
  1.9650E+01    6.3948E+00
  1.9750E+01    6.3986E+00
  1.9850E+01    6.4024E+00
  1.9950E+01    6.4060E+00
