# Time          3.5000E+00
# Units: Bars
    Distance        CO2(g)           O2(g)           
    1.1250000E+01    7.9132431E-03    1.8000664E-01
    1.1350000E+01    7.8925151E-03    1.8000671E-01
    1.1450000E+01    7.8717461E-03    1.8000678E-01
    1.1550000E+01    7.8509361E-03    1.8000684E-01
    1.1650000E+01    7.8300853E-03    1.8000691E-01
    1.1750000E+01    7.8091936E-03    1.8000697E-01
    1.1850000E+01    7.7882610E-03    1.8000704E-01
    1.1950000E+01    7.7672875E-03    1.8000711E-01
    1.2050000E+01    7.7462731E-03    1.8000718E-01
    1.2150000E+01    7.7252179E-03    1.8000724E-01
    1.2250000E+01    7.7041218E-03    1.8000731E-01
    1.2350000E+01    7.6829849E-03    1.8000738E-01
    1.2450000E+01    7.6618072E-03    1.8000744E-01
    1.2550000E+01    7.6405887E-03    1.8000751E-01
    1.2650000E+01    7.6193294E-03    1.8000758E-01
    1.2750000E+01    7.5980293E-03    1.8000765E-01
    1.2850000E+01    7.5766884E-03    1.8000772E-01
    1.2950000E+01    7.5553068E-03    1.8000778E-01
    1.3050000E+01    7.5338844E-03    1.8000785E-01
    1.3150000E+01    7.5124214E-03    1.8000792E-01
    1.3250000E+01    7.4909176E-03    1.8000799E-01
    1.3350000E+01    7.4693731E-03    1.8000806E-01
    1.3450000E+01    7.4477879E-03    1.8000813E-01
    1.3550000E+01    7.4261621E-03    1.8000820E-01
    1.3650000E+01    7.4044957E-03    1.8000827E-01
    1.3750000E+01    7.3827887E-03    1.8000833E-01
    1.3850000E+01    7.3610410E-03    1.8000840E-01
    1.3950000E+01    7.3392528E-03    1.8000847E-01
    1.4050000E+01    7.3174240E-03    1.8000854E-01
    1.4150000E+01    7.2955548E-03    1.8000861E-01
    1.4250000E+01    7.2736450E-03    1.8000868E-01
    1.4350000E+01    7.2516947E-03    1.8000875E-01
    1.4450000E+01    7.2297040E-03    1.8000882E-01
    1.4550000E+01    7.2076728E-03    1.8000889E-01
    1.4650000E+01    7.1856013E-03    1.8000896E-01
    1.4750000E+01    7.1634893E-03    1.8000903E-01
    1.4850000E+01    7.1413371E-03    1.8000910E-01
    1.4950000E+01    7.1191445E-03    1.8000918E-01
    1.5050000E+01    7.0969117E-03    1.8000925E-01
    1.5150000E+01    7.0746386E-03    1.8000932E-01
    1.5250000E+01    7.0523253E-03    1.8000939E-01
    1.5350000E+01    7.0299718E-03    1.8000946E-01
    1.5450000E+01    7.0075782E-03    1.8000953E-01
    1.5550000E+01    6.9851445E-03    1.8000960E-01
    1.5650000E+01    6.9626708E-03    1.8000968E-01
    1.5750000E+01    6.9401570E-03    1.8000975E-01
    1.5850000E+01    6.9176033E-03    1.8000982E-01
    1.5950000E+01    6.8950096E-03    1.8000989E-01
    1.6050000E+01    6.8723761E-03    1.8000996E-01
    1.6150000E+01    6.8497027E-03    1.8001004E-01
    1.6250000E+01    6.8269896E-03    1.8001011E-01
    1.6350000E+01    6.8042367E-03    1.8001018E-01
    1.6450000E+01    6.7814441E-03    1.8001025E-01
    1.6550000E+01    6.7586120E-03    1.8001033E-01
    1.6650000E+01    6.7357403E-03    1.8001040E-01
    1.6750000E+01    6.7128291E-03    1.8001047E-01
    1.6850000E+01    6.6898784E-03    1.8001055E-01
    1.6950000E+01    6.6668884E-03    1.8001062E-01
    1.7050000E+01    6.6438591E-03    1.8001069E-01
    1.7150000E+01    6.6207905E-03    1.8001077E-01
    1.7250000E+01    6.5976828E-03    1.8001084E-01
    1.7350000E+01    6.5745361E-03    1.8001092E-01
    1.7450000E+01    6.5513503E-03    1.8001099E-01
    1.7550000E+01    6.5281256E-03    1.8001106E-01
    1.7650000E+01    6.5048621E-03    1.8001114E-01
    1.7750000E+01    6.4815599E-03    1.8001121E-01
    1.7850000E+01    6.4582191E-03    1.8001129E-01
    1.7950000E+01    6.4348397E-03    1.8001136E-01
    1.8050000E+01    6.4114219E-03    1.8001144E-01
    1.8150000E+01    6.3879658E-03    1.8001151E-01
    1.8250000E+01    6.3644716E-03    1.8001159E-01
    1.8350000E+01    6.3409393E-03    1.8001166E-01
    1.8450000E+01    6.3173691E-03    1.8001174E-01
    1.8550000E+01    6.2937612E-03    1.8001181E-01
    1.8650000E+01    6.2701158E-03    1.8001189E-01
    1.8750000E+01    6.2464330E-03    1.8001197E-01
    1.8850000E+01    6.2227130E-03    1.8001204E-01
    1.8950000E+01    6.1989562E-03    1.8001212E-01
    1.9050000E+01    6.1751628E-03    1.8001219E-01
    1.9150000E+01    6.1513333E-03    1.8001227E-01
    1.9250000E+01    6.1274680E-03    1.8001235E-01
    1.9350000E+01    6.1035675E-03    1.8001242E-01
    1.9450000E+01    6.0796327E-03    1.8001250E-01
    1.9550000E+01    6.0556648E-03    1.8001258E-01
    1.9650000E+01    6.0316619E-03    1.8001254E-01
    1.9750000E+01    6.0070738E-03    1.7999573E-01
    1.9850000E+01    5.9225601E-03    1.7817643E-01
    1.9950000E+01    1.8607290E-03    5.6560603E-02
