# Time          1.7500E+00
    Distance         pH
  1.8750E+01    6.3606E+00
  1.8850E+01    6.3644E+00
  1.8950E+01    6.3682E+00
  1.9050E+01    6.3719E+00
  1.9150E+01    6.3757E+00
  1.9250E+01    6.3795E+00
  1.9350E+01    6.3833E+00
  1.9450E+01    6.3871E+00
  1.9550E+01    6.3909E+00
  1.9650E+01    6.3946E+00
  1.9750E+01    6.3984E+00
  1.9850E+01    6.4022E+00
  1.9950E+01    6.4052E+00
