sample,date,time,datetime,discharge,d7Li,2SD,Li,Na
SE3-45,2016-10-14 00:00:00,10:50:00,2016-10-14 10:50:00,34.5,23.7016250846421,0.134783634194863,0.654399337092643,1130.55
SE3-46,2016-10-14 00:00:00,12:00:00,2016-10-14 12:00:00,49.4,,,0.604943998531274,1300.75
SE3-47,2016-10-14 00:00:00,16:00:00,2016-10-14 16:00:00,28,22.8403408329988,0.111123698685871,0.659875861655457,1058.65
SE3-48,2016-10-14 00:00:00,20:00:00,2016-10-14 20:00:00,23.5,,,0.648588868147681,1292.55
SE3-49,2016-10-15 00:00:00,00:00:00,2016-10-15 00:00:00,21.8,22.9931092393115,0.0837157826930123,0.64050159905921,1155.25
SE3-50,2016-10-15 00:00:00,04:00:00,2016-10-15 04:00:00,21.2,,,0.586878,1304.4
SE3-51,2016-10-15 00:00:00,08:00:00,2016-10-15 08:00:00,21.1,23.1952313948182,0.0406869292504537,0.619677446413742,1232
SE3-52,2016-10-15 00:00:00,12:00:00,2016-10-15 12:00:00,21.1,,,0.630571557167897,1291.55
SE3-53,2016-10-15 00:00:00,16:00:00,2016-10-15 16:00:00,21.1,23.046110064102,0.0899096082725611,0.656345472479747,1190.95
SE3-54,2016-10-15 00:00:00,20:00:00,2016-10-15 20:00:00,21.4,,,0.65460921760499,1332.05
SE3-55,2016-10-16 00:00:00,00:00:00,2016-10-16 00:00:00,22.2,23.4334650487058,0.446804347448002,0.645497072831118,1234.6
SE3-56,2016-10-16 00:00:00,04:00:00,2016-10-16 04:00:00,22.9,,,0.66170461749952,1171.4
SE3-57,2016-10-16 00:00:00,08:00:00,2016-10-16 08:00:00,24.1,23.7451383800851,0.0223913329460249,0.665330207524938,1268.2
SE3-58,2016-10-16 00:00:00,12:00:00,2016-10-16 12:00:00,25.4,,,0.659645634452672,1112.85
SE3-59,2016-10-16 00:00:00,16:00:00,2016-10-16 16:00:00,26.9,23.0937966499926,0.271603772471893,0.667059329276966,1225.1
SE3-60,2016-10-16 00:00:00,20:00:00,2016-10-16 20:00:00,27.7,,,0.667149888036644,1178.75
SE3-61,2016-10-17 00:00:00,00:00:00,2016-10-17 00:00:00,29,23.4890519921587,0.0390632288438836,0.699689280391948,1231.25
SE3-62,2016-10-17 00:00:00,04:00:00,2016-10-17 04:00:00,30.2,,,0.693728265015224,1233.4
SE3-63,2016-10-17 00:00:00,08:00:00,2016-10-17 08:00:00,30.1,22.9034472781873,0.223754551327862,0.693376512123452,1263.92576662456
SE3-64,2016-10-17 00:00:00,12:00:00,2016-10-17 12:00:00,30.6,,,0.687906478985555,1188
SE3-65,2016-10-17 00:00:00,16:00:00,2016-10-17 16:00:00,30.7,22.7077241205287,0.402816643427856,0.686093624132682,1294.55
SE3-66,2016-10-17 00:00:00,20:00:00,2016-10-17 20:00:00,30.5,,,0.682628863404902,1291.53186996897
SE3-67,2016-10-18 00:00:00,00:00:00,2016-10-18 00:00:00,30.4,23.3208939649738,0.0882875737164531,0.658921433668421,1299.5
SE3-68,2016-10-18 00:00:00,04:00:00,2016-10-18 04:00:00,30.3,,,0.663239448276326,1306.43100406156
SE3-69,2016-10-18 00:00:00,08:00:00,2016-10-18 08:00:00,30.1,23.3383346411741,0.0290143464619856,0.676817290115032,1374.1
