# Time          3.5000E+00
# Units:           Transport Porosity  Mineral Porosity
    1.1350000E+01    9.9900000E-02    1.4675523E-01
    1.1450000E+01    9.9900000E-02    1.4625073E-01
    1.1550000E+01    9.9900000E-02    1.4574538E-01
    1.1650000E+01    9.9900000E-02    1.4523919E-01
    1.1750000E+01    9.9900000E-02    1.4473215E-01
    1.1850000E+01    9.9900000E-02    1.4422427E-01
    1.1950000E+01    9.9900000E-02    1.4371556E-01
    1.2050000E+01    9.9900000E-02    1.4320600E-01
    1.2150000E+01    9.9900000E-02    1.4269560E-01
    1.2250000E+01    9.9900000E-02    1.4218436E-01
    1.2350000E+01    9.9900000E-02    1.4167229E-01
    1.2450000E+01    9.9900000E-02    1.4115938E-01
    1.2550000E+01    9.9900000E-02    1.4064563E-01
    1.2650000E+01    9.9900000E-02    1.4013105E-01
    1.2750000E+01    9.9900000E-02    1.3961564E-01
    1.2850000E+01    9.9900000E-02    1.3909939E-01
    1.2950000E+01    9.9900000E-02    1.3858232E-01
    1.3050000E+01    9.9900000E-02    1.3806441E-01
    1.3150000E+01    9.9900000E-02    1.3754568E-01
    1.3250000E+01    9.9900000E-02    1.3702612E-01
    1.3350000E+01    9.9900000E-02    1.3650574E-01
    1.3450000E+01    9.9900000E-02    1.3598453E-01
    1.3550000E+01    9.9900000E-02    1.3546250E-01
    1.3650000E+01    9.9900000E-02    1.3493965E-01
    1.3750000E+01    9.9900000E-02    1.3441598E-01
    1.3850000E+01    9.9900000E-02    1.3389149E-01
    1.3950000E+01    9.9900000E-02    1.3336618E-01
    1.4050000E+01    9.9900000E-02    1.3284007E-01
    1.4150000E+01    9.9900000E-02    1.3231314E-01
    1.4250000E+01    9.9900000E-02    1.3178540E-01
    1.4350000E+01    9.9900000E-02    1.3125685E-01
    1.4450000E+01    9.9900000E-02    1.3072749E-01
    1.4550000E+01    9.9900000E-02    1.3019733E-01
    1.4650000E+01    9.9900000E-02    1.2966637E-01
    1.4750000E+01    9.9900000E-02    1.2913461E-01
    1.4850000E+01    9.9900000E-02    1.2860205E-01
    1.4950000E+01    9.9900000E-02    1.2806869E-01
    1.5050000E+01    9.9900000E-02    1.2753454E-01
    1.5150000E+01    9.9900000E-02    1.2699960E-01
    1.5250000E+01    9.9900000E-02    1.2646387E-01
    1.5350000E+01    9.9900000E-02    1.2592736E-01
    1.5450000E+01    9.9900000E-02    1.2539006E-01
    1.5550000E+01    9.9900000E-02    1.2485198E-01
    1.5650000E+01    9.9900000E-02    1.2431312E-01
    1.5750000E+01    9.9900000E-02    1.2377349E-01
    1.5850000E+01    9.9900000E-02    1.2323308E-01
    1.5950000E+01    9.9900000E-02    1.2269190E-01
    1.6050000E+01    9.9900000E-02    1.2214996E-01
    1.6150000E+01    9.9900000E-02    1.2160725E-01
    1.6250000E+01    9.9900000E-02    1.2106378E-01
    1.6350000E+01    9.9900000E-02    1.2051956E-01
    1.6450000E+01    9.9900000E-02    1.1997458E-01
    1.6550000E+01    9.9900000E-02    1.1942885E-01
    1.6650000E+01    9.9900000E-02    1.1888238E-01
    1.6750000E+01    9.9900000E-02    1.1833516E-01
    1.6850000E+01    9.9900000E-02    1.1778720E-01
    1.6950000E+01    9.9900000E-02    1.1723851E-01
    1.7050000E+01    9.9900000E-02    1.1668908E-01
    1.7150000E+01    9.9900000E-02    1.1613893E-01
    1.7250000E+01    9.9900000E-02    1.1558806E-01
    1.7350000E+01    9.9900000E-02    1.1503647E-01
    1.7450000E+01    9.9900000E-02    1.1448416E-01
    1.7550000E+01    9.9900000E-02    1.1393114E-01
    1.7650000E+01    9.9900000E-02    1.1337742E-01
    1.7750000E+01    9.9900000E-02    1.1282300E-01
    1.7850000E+01    9.9900000E-02    1.1226789E-01
    1.7950000E+01    9.9900000E-02    1.1171209E-01
    1.8050000E+01    9.9900000E-02    1.1115561E-01
    1.8150000E+01    9.9900000E-02    1.1059845E-01
    1.8250000E+01    9.9900000E-02    1.1004062E-01
    1.8350000E+01    9.9900000E-02    1.0948213E-01
    1.8450000E+01    9.9900000E-02    1.0892298E-01
    1.8550000E+01    9.9900000E-02    1.0836319E-01
    1.8650000E+01    9.9900000E-02    1.0780275E-01
    1.8750000E+01    9.9900000E-02    1.0724168E-01
    1.8850000E+01    9.9900000E-02    1.0668000E-01
    1.8950000E+01    9.9900000E-02    1.0611770E-01
    1.9050000E+01    9.9900000E-02    1.0555480E-01
    1.9150000E+01    9.9900000E-02    1.0499133E-01
    1.9250000E+01    9.9900000E-02    1.0442728E-01
    1.9350000E+01    9.9900000E-02    1.0386269E-01
    1.9450000E+01    9.9900000E-02    1.0329757E-01
    1.9550000E+01    9.9900000E-02    1.0273197E-01
    1.9650000E+01    9.9900000E-02    1.0216592E-01
    1.9750000E+01    9.9900000E-02    1.0159949E-01
    1.9850000E+01    9.9900000E-02    1.0103281E-01
    1.9950000E+01    9.9900000E-02    1.0046610E-01
