# Time          3.5000E+00
# Units:           Transport Porosity  Mineral Porosity
    1.1350000E+01    9.9900000E-02    1.4674369E-01
    1.1450000E+01    9.9900000E-02    1.4623928E-01
    1.1550000E+01    9.9900000E-02    1.4573403E-01
    1.1650000E+01    9.9900000E-02    1.4522793E-01
    1.1750000E+01    9.9900000E-02    1.4472099E-01
    1.1850000E+01    9.9900000E-02    1.4421321E-01
    1.1950000E+01    9.9900000E-02    1.4370459E-01
    1.2050000E+01    9.9900000E-02    1.4319513E-01
    1.2150000E+01    9.9900000E-02    1.4268483E-01
    1.2250000E+01    9.9900000E-02    1.4217369E-01
    1.2350000E+01    9.9900000E-02    1.4166172E-01
    1.2450000E+01    9.9900000E-02    1.4114891E-01
    1.2550000E+01    9.9900000E-02    1.4063526E-01
    1.2650000E+01    9.9900000E-02    1.4012078E-01
    1.2750000E+01    9.9900000E-02    1.3960547E-01
    1.2850000E+01    9.9900000E-02    1.3908933E-01
    1.2950000E+01    9.9900000E-02    1.3857235E-01
    1.3050000E+01    9.9900000E-02    1.3805455E-01
    1.3150000E+01    9.9900000E-02    1.3753592E-01
    1.3250000E+01    9.9900000E-02    1.3701647E-01
    1.3350000E+01    9.9900000E-02    1.3649619E-01
    1.3450000E+01    9.9900000E-02    1.3597508E-01
    1.3550000E+01    9.9900000E-02    1.3545316E-01
    1.3650000E+01    9.9900000E-02    1.3493042E-01
    1.3750000E+01    9.9900000E-02    1.3440685E-01
    1.3850000E+01    9.9900000E-02    1.3388247E-01
    1.3950000E+01    9.9900000E-02    1.3335728E-01
    1.4050000E+01    9.9900000E-02    1.3283127E-01
    1.4150000E+01    9.9900000E-02    1.3230445E-01
    1.4250000E+01    9.9900000E-02    1.3177682E-01
    1.4350000E+01    9.9900000E-02    1.3124839E-01
    1.4450000E+01    9.9900000E-02    1.3071915E-01
    1.4550000E+01    9.9900000E-02    1.3018910E-01
    1.4650000E+01    9.9900000E-02    1.2965825E-01
    1.4750000E+01    9.9900000E-02    1.2912661E-01
    1.4850000E+01    9.9900000E-02    1.2859416E-01
    1.4950000E+01    9.9900000E-02    1.2806093E-01
    1.5050000E+01    9.9900000E-02    1.2752689E-01
    1.5150000E+01    9.9900000E-02    1.2699207E-01
    1.5250000E+01    9.9900000E-02    1.2645646E-01
    1.5350000E+01    9.9900000E-02    1.2592007E-01
    1.5450000E+01    9.9900000E-02    1.2538289E-01
    1.5550000E+01    9.9900000E-02    1.2484494E-01
    1.5650000E+01    9.9900000E-02    1.2430620E-01
    1.5750000E+01    9.9900000E-02    1.2376669E-01
    1.5850000E+01    9.9900000E-02    1.2322641E-01
    1.5950000E+01    9.9900000E-02    1.2268536E-01
    1.6050000E+01    9.9900000E-02    1.2214355E-01
    1.6150000E+01    9.9900000E-02    1.2160097E-01
    1.6250000E+01    9.9900000E-02    1.2105763E-01
    1.6350000E+01    9.9900000E-02    1.2051354E-01
    1.6450000E+01    9.9900000E-02    1.1996870E-01
    1.6550000E+01    9.9900000E-02    1.1942310E-01
    1.6650000E+01    9.9900000E-02    1.1887676E-01
    1.6750000E+01    9.9900000E-02    1.1832968E-01
    1.6850000E+01    9.9900000E-02    1.1778186E-01
    1.6950000E+01    9.9900000E-02    1.1723331E-01
    1.7050000E+01    9.9900000E-02    1.1668403E-01
    1.7150000E+01    9.9900000E-02    1.1613402E-01
    1.7250000E+01    9.9900000E-02    1.1558329E-01
    1.7350000E+01    9.9900000E-02    1.1503184E-01
    1.7450000E+01    9.9900000E-02    1.1447968E-01
    1.7550000E+01    9.9900000E-02    1.1392681E-01
    1.7650000E+01    9.9900000E-02    1.1337324E-01
    1.7750000E+01    9.9900000E-02    1.1281897E-01
    1.7850000E+01    9.9900000E-02    1.1226401E-01
    1.7950000E+01    9.9900000E-02    1.1170837E-01
    1.8050000E+01    9.9900000E-02    1.1115204E-01
    1.8150000E+01    9.9900000E-02    1.1059504E-01
    1.8250000E+01    9.9900000E-02    1.1003737E-01
    1.8350000E+01    9.9900000E-02    1.0947904E-01
    1.8450000E+01    9.9900000E-02    1.0892005E-01
    1.8550000E+01    9.9900000E-02    1.0836042E-01
    1.8650000E+01    9.9900000E-02    1.0780015E-01
    1.8750000E+01    9.9900000E-02    1.0723926E-01
    1.8850000E+01    9.9900000E-02    1.0667774E-01
    1.8950000E+01    9.9900000E-02    1.0611562E-01
    1.9050000E+01    9.9900000E-02    1.0555290E-01
    1.9150000E+01    9.9900000E-02    1.0498960E-01
    1.9250000E+01    9.9900000E-02    1.0442573E-01
    1.9350000E+01    9.9900000E-02    1.0386132E-01
    1.9450000E+01    9.9900000E-02    1.0329639E-01
    1.9550000E+01    9.9900000E-02    1.0273097E-01
    1.9650000E+01    9.9900000E-02    1.0216511E-01
    1.9750000E+01    9.9900000E-02    1.0159888E-01
    1.9850000E+01    9.9900000E-02    1.0103239E-01
    1.9950000E+01    9.9900000E-02    1.0046588E-01
